ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10238667,HY426481,09/16/2015 10:00:00 PM,061XX N HOYNE AVE,479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2413,24,40,2,04B,1161209,1940913,2015,02-10-2018 15:50,41.99355232,-87.68236779,"(41.99355232, -87.682367785)"
11651974,JC220423,09/22/2017 09:00:00 AM,088XX S PRINCETON AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,FALSE,FALSE,634,6,21,49,11,,,2017,04-12-2019 16:08,,,
10238686,HY425490,09/15/2015 04:05:00 PM,059XX N GLENWOOD AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,2013,20,48,77,26,1165910,1939379,2015,02-10-2018 15:50,41.98924362,-87.66511973,"(41.989243623, -87.665119726)"
11652252,JC220506,02-11-2012 07:25,062XX S EVANS AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,313,3,20,42,11,,,2012,04-12-2019 16:08,,,
11652020,JC220293,06/20/2018 12:00:00 AM,010XX E 87TH ST,810,THEFT,OVER $500,OTHER,FALSE,FALSE,412,4,8,44,6,,,2018,04-12-2019 16:08,,,
11033232,JA365831,07/27/2017 02:00:00 PM,027XX W ESTES AVE,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2411,24,50,2,6,,,2017,08-03-2017 15:52,,,
11647199,JC213690,04-05-2019 09:35,023XX N LISTER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1432,14,32,22,14,,,2019,04-12-2019 16:08,,,
11652237,JC220634,03/13/2013 02:25:00 PM,063XX S DR MARTIN LUTHER KING JR DR,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,312,3,20,69,11,,,2013,04-12-2019 16:08,,,
11651937,JC220566,11/15/2018 12:00:00 AM,047XX W CHICAGO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1111,11,28,25,11,,,2018,04-12-2019 16:08,,,
11480964,JB378292,08-03-2018 23:19,067XX S EAST END AVE,2015,NARCOTICS,MANU/DELIVER: HALLUCINOGEN,APARTMENT,TRUE,FALSE,332,3,5,43,18,,,2018,04/13/2019 03:55:48 PM,,,
10239067,HY426609,09/17/2015 07:45:00 AM,031XX N AUSTIN AVE,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,FALSE,FALSE,2511,25,36,19,04B,1135845,1920130,2015,02-10-2018 15:50,41.93701296,-87.7761649,"(41.937012964, -87.776164901)"
11046181,JA381358,08-07-2017 13:00,035XX S DAN RYAN EXPY OB,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,915,9,3,34,08B,,,2017,08/14/2017 04:00:25 PM,,,
11652707,JC221396,04-04-2013 16:00,029XX W 65TH ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,823,8,17,66,11,,,2013,04-12-2019 16:08,,,
11652597,JC221266,07-11-2018 15:00,014XX S SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1022,10,24,29,11,,,2018,04-12-2019 16:08,,,
11652084,JC220596,12/20/2018 12:00:00 PM,034XX S GILES AVE,1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,211,2,4,35,11,,,2018,04-12-2019 16:08,,,
10239197,HY426823,09/17/2015 09:00:00 AM,055XX S ASHLAND AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,FALSE,FALSE,715,7,15,67,04A,1166617,1867978,2015,02-10-2018 15:50,41.79329893,-87.66456619,"(41.79329893, -87.66456619)"
10239218,HY420088,09-12-2015 04:20,0000X W CHECKPOINT 7 ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,FALSE,FALSE,1653,16,41,76,26,1101708,1934306,2015,02-10-2018 15:50,41.97645432,-87.90136461,"(41.976454319, -87.901364605)"
10239333,HY426945,09/17/2015 12:08:00 PM,066XX S ST LAWRENCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,321,3,20,42,14,1181377,1861028,2015,02-10-2018 15:50,41.77389965,-87.61065725,"(41.773899649, -87.610657246)"
11234204,JB153531,11-01-2017 00:01,038XX W 61ST PL,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,TRUE,FALSE,823,8,13,65,2,,,2017,05/28/2018 03:46:35 PM,,,
11232733,JB154852,02-09-2018 07:55,002XX W WASHINGTON ST,810,THEFT,OVER $500,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,122,1,42,32,6,,,2018,02/19/2018 03:53:22 PM,,,
11233181,JB155401,10-04-2017 00:01,006XX N WALLER AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,FALSE,FALSE,1511,15,29,25,11,,,2017,02/19/2018 03:53:22 PM,,,
11652481,JC219231,09-01-2018 00:01,007XX N MENARD AVE,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,FALSE,FALSE,1511,15,29,25,08B,,,2018,04-12-2019 16:08,,,
11231791,JB152973,02-12-2018 15:10,067XX S SOUTH SHORE DR,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,331,3,5,43,6,,,2018,02/19/2018 03:55:38 PM,,,
